paper,edition
Semi-supervised Clustering with Pairwise Constraints: A Discriminative Approach.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Cross-associating unlabelled timbre distributions to create expressive musical mappings.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Modeling Knowledge Worker Activity.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Parallelizable Sampling of Markov Random Fields.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Automating Quantitative Narrative Analysis of News Data.,"Proceedings of the Second Workshop on Applications of Pattern Analysis, WAPA 2011, Castro Urdiales, Spain, October 19-21, 2011"
A Nonparametric Bayesian Approach to Modeling Overlapping Clusters.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Variational Learning of Inducing Variables in Sparse Gaussian Processes.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
TIED: An Artificially Simulated Dataset with Multiple Markov Boundaries.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Detecting Weak but Hierarchically-Structured Patterns in Networks.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Distinguishing between cause and effect.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Multiclass-Multilabel Classification with More Classes than Examples.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Tighter Relaxations for MAP-MRF Inference: A Local Primal-Dual Gap based Separation Algorithm.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Pairwise Measures of Causal Direction in Linear Non-Gaussian Acyclic Models.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Learning Rules from Incomplete Examples via Implicit Mention Models.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Preface.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Preface.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Factorial Mixture of Gaussians and the Marginal Independence Model.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Results of the Active Learning Challenge.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Efficient active learning with generalized linear models.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Kernel Learning by Unconstrained Optimization.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Solving Markov Random Fields with Spectral Relaxation.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Exact and Approximate Sampling by Systematic Stochastic Search.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Causal and Non-Causal Feature Selection for Ridge Regression.,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
Design and Analysis of the Causation and Prediction Challenge.,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
Infinite Hierarchical Hidden Markov Models.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Hierarchical Beta Processes and the Indian Buffet Process.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Estimation Consistency of the Group Lasso and its Applications.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Unsupervised Variable Selection: when random rankings sound as irrelevancy.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Convex Perturbations for Scalable Semidefinite Programming.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Transductive Classification via Local Learning Regularization.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Tree Block Coordinate Descent for MAP in Graphical Models.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Visualizing pairwise similarity via semidefinite programming.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Residual Splash for Optimally Parallelizing Belief Propagation.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Relative Novelty Detection.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Efficient graphlet kernels for large graph comparison.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Matching Pursuit Kernel Fisher Discriminant Analysis.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Generalized Do-Calculus with Testable Causal Assumptions.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Memory-Effcient Orthogonal Least Squares Kernel Density Estimation using Enhanced Empirical Cumulative Distribution Functions.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Clusterability: A Theoretical Study.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Multi-Source Feature Selection via Geometry-Dependent Covariance Analysis.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
"A Bayesian View of Challenges in Feature Selection: Feature Aggregation, Multiple Targets, Redundancy and Interaction.","Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Visualization Databases for the Analysis of Large Complex Datasets.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Deterministic Annealing for Multiple-Instance Learning.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
"An Ensemble of Three Classifiers for KDD Cup 2009: Expanded Linear Model, Heterogeneous Boosting, and Selective Naive Bayes.","Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
A Stochastic Quasi-Newton Method for Online Convex Optimization.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning Sparse Markov Network Structure via Ensemble-of-Trees Models.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Loopy Belief Propagation for Bipartite Maximum Weight b-Matching.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning A* underestimates: Using inference to guide inference.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Exploiting tree-based variable importances to selectively identify relevant variables.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Random Sets Approach and its Applications.,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
Reversible Jump MCMC for Non-Negative Matrix Factorization.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Unsupervised feature selection applied to SPOT5 satellite images indexing.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Variable Metric Stochastic Approximation Theory.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Dual Temporal Difference Learning.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Variational Bridge Regression.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Sampling Techniques for the Nystrom Method.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Fast Low-Rank Semidefinite Programming for Embedding and Clustering.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Space-Efficient Sampling.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning Multilevel Distributed Representations for High-Dimensional Sequences.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Group Nonnegative Matrix Factorization for EEG Classification.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Dissimilarity in Graph-Based Semi-Supervised Classification.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
