paper,main_author
A Calculus for Data Mapping.,Catharine M. Wyss
A Framework for Managing Requirements of Software Product Lines.,Agustina Buccella
Compositional Properties of Sequential Processes.,Naijun Zhan
Statistics of implicational logic.,Marek Zaionc
From UML models to automatic generated tests for the dotLRN e-learning platform.,Ana R. Cavalli
A New Machine-checked Proof of Strong Normalisation for Display Logic.,Jeremy E. Dawson
General Secret Sharing Based on the Chinese Remainder Theorem with Applications in E-Voting.,Sorin Iftene
Broadcast Calculus Interpreted in CCS upto Bisimulation.,K. V. S. Prasad
Abductive Network Action Inference for Targeted Therapy Discovery.,Célia Biane
Software Evolution through Transformations.,Michel Wermelinger
PSPACE-hardness of Two Graph Coloring Games.,Eurinardo Rodrigues Costa
A Rewrite Framework for Language Definitions and for Generation of Efficient Interpreters.,Grigore Rosu
Predicting Incompatibility of Transformations in Model-driven Development.,Johann Oberleitner
Space-Profiling Semantics of the Call-by-Value Lambda Calculus and the CPS Transformation.,Yasuhiko Minamide
Integrating Component Tests to System Tests.,Bernhard Schätz
Extending Propositional Dynamic Logic for Petri Nets.,Bruno Lopes 0001
Reasoning in Abella about Structural Operational Semantics Specifications.,Andrew Gacek
On the Complexity of RSRL.,Stephan Kepser
On Computable Compact Operators on Banach Spaces.,Ruth Dillhage
Graph-Based Tools (GraBaTs 2002).,Andy Schürr
Towards Model Transformation in Generated Eclipse Editor Plug-Ins.,Claudia Ermel
Healthiness Conditions for Predicate Transformers.,Klaus Keimel
Visualization of Spatial Data Structures on Different Levels of Abstraction.,Ari Korhonen
Algorithmic Techniques for Maintaining Shortest Routes in Dynamic Networks.,Camil Demetrescu
Analogy and Formal Languages.,Yves Lepage
The Impact of Linearity Information on the Performance of TyCO.,Francisco Martins
Additive Consolidation with Maximal Change.,Yoshitaka Suzuki
Rational Unification in 28 Characters.,Alessandro Tiberi
Maximal Introspection of Agents.,Thomas Bolander
Frameworks Based on Templates for Rigorous Model-driven Development.,Fiona Polack
Model-Based Test Case Generation for Smart Cards.,Alexander Pretschner
Refined Bounds on Kolmogorov Complexity for omega-Languages.,Jöran Mielke
On Fair Cost Facility Location Games with Non-singleton Players.,Eduardo C. Xavier
Separating concerns in a high-level component-based context.,Bart Wydaeghe
The Typed Bohm Theorem.,Kosta Dosen
A Logic for Reasoning about Generic Judgments.,Alwen Tiu
An Efficient Nelson-Oppen Decision Procedure for Difference Constraints over Rationals.,Madanlal Musuvathi
Biomolecular Agents as Multi-behavioural Concurrent Objects.,Céline Kuttler
LCF-style Platform based on Multiway Decision Graphs.,Otmane Aït Mohamed
A Categorical and Graphical Treatment of Closure Conversion.,Alan Jeffrey
Approximations for Strategies and Termination.,Aart Middeldorp
Developing High-Performance Server Applications in Haskell - Case Study: A Haskell Web Server.,Simon Marlow
A Program Result Checker for the Lexical Analysis of the GNU C Compiler.,Matthias Jäger
A Denotational Semantics for SPARC TSO.,Ryan Kavanagh
"Design, Analysis and Performance Evaluation of Group Key Establishment in Wireless Sensor Networks.",Elisavet Konstantinou
Coordinated Distributed Diagram Transformation for Software Evolution.,Francesco Parisi-Presicce
Inference of Timed Transition Systems.,Bengt Jonsson 0001
Formalization and Verification of REST on HTTP Using CSP.,Huibiao Zhu
A Prospectus for Mobile Broadcasting Systems.,K. V. S. Prasad
Regularity Results for FIFO Channels.,Nils Klarlund
Dynamic Event Generation for Runtime Checking using the JDI.,Mark Brörkens
Modal Logic Characterization of Markovian Testing and Trace Equivalences.,Marco Bernardo 0001
Deconstructing Alice and Bob.,Carlos Caleiro
Attacking Group Multicast Key Management Protocols Using Coral.,Alan Bundy
Memory Requirements of Java Bytecode Verification on Limited Devices.,Karsten Klohs
Towards a Notion of Lambda Monoid.,Martin Hyland
On Interpolation Problem in Paraconsistent Extensions of the Minimal Logic.,Larisa Maksimova
Monte Carlo Methods for Process Algebra.,Radu Grosu
Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.,Christophe Joubert
An Algebraic Approach to Population-Based Evolutionary Algorithm Generation.,Bei Zhang 0004
Bounded Model Checking for Deontic Interpreted Systems.,Alessio Lomuscio
On the Evolution Complexity of Design Patterns.,Amnon H. Eden
A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.,Jorge Sousa Pinto
Model-based Evaluation of Scalability and Security Tradeoffs: a Case Study on a Multi-Service Platform.,Andrea Bondavalli
DynaMICs: Comprehensive Support for Run-Time Monitoring.,Ann Q. Gates
Building Interpreters with Rewriting Strategies.,Eelco Dolstra
Remarks on an Edge-coloring Problem.,Carlos Hoppen
A Framework for Establishing Formal Conformance between Object Models and Object-Oriented Programs.,Paulo Borba
Interactions in Transport Networks.,Marc Wennink
Introduction - Graph Transformation and Visual Modeling Techniques - GT-VMT 2001.,Gabriele Taentzer
Local Realizability Toposes and a Modal Logic for Computability.,Dana S. Scott
An Aspect-Oriented Adaptation Framework for Dynamic Component Evolution.,Carlos Canal
Automated Theorem Proving with Spider Diagrams.,Gem Stapleton
Producing Proofs from an Arithmetic Decision Procedure in Elliptical LF.,Aaron Stump
Information Systems Research and Development at CCLRC: Accelerating Innovation through Technology Transfer.,Juan Bicarregui
Where Do Bugs Come From?,Andreas Zeller
Lattice algorithms for compression color space estimation in JPEG images.,Ramesh Neelamani
"Vague Domains, S-Unification, Logic Programming.",Harry Virtanen
Towards a theory of mathematical operational semantics.,John Power
"Model Theoretic Syntax, Parsing: An Application to Temporal Logic.",Adi Palm
Interface Automata with Complex Actions.,Farhad Mavaddat
GeoThms - a Web System for Euclidean Constructive Geometry.,Pedro Quaresma
Towards SOS Meta-Theory for Language-Based Security.,Mohammad Reza Mousavi 0001
An Approach to Splitting Atoms Safely: Extended Abstract.,Cliff B. Jones
The Relevance of Semantic Subtyping.,Alain Frisch
Reasoning with Graphs.,Jorge Petrucio Viana
A Formal Framework for Web Services Coordination.,Claudio Guidi
A Verification Approach for GALS Integration of Synchronous Components.,Frederic Doucet
An Analysis for Causal Properties of Membrane Interactions.,Chiara Bodei
A General Constructive Proof Technique.,Douglas S. Bridges
A Logical Approach to Hamiltonian Graphs.,Luis Menasché Schechter
Measurements on domains and topology.,George M. Reed
Compressing Propositional Refutations.,Hasan Amjad
Algebraic Information Theory For Binary Channels.,Gerard Allwein
An Automata Based Approach for Verifying Information Flow Properties.,Barbara Sprick
Weightable quasi-metric semigroups and semilattices.,Michel P. Schellekens
Termination and normalisation under strategy Proofs in ELAN.,Hélène Kirchner
Towards Proof Generating Compilers.,Arnd Poetzsch-Heffter
A Symbolic Procedure for Control Reachability in the Asynchronous Pi-calculus: Extended Abstract.,Giorgio Delzanno
Long Normal Form Proof Search and Counter-Model Generation.,Daisuke Nagano
Monitoring Java Programs with Java PathExplorer.,Grigore Rosu
Thoughts on Requirements and Design Issues of User Interfaces for Proof Assistants.,Norbert Völker
"Iterate, Incrementalize, and Implement: A systematic approach to efficiency improvement and guarantees.",Yanhong A. Liu
Approximate Relational Hoare Logic for Continuous Random Samplings.,Tetsuya Sato 0001
The constructive maximal point space.,Michael B. Smyth
Continuous Probability Distributions in Concurrent Games.,Glynn Winskel
A Simple Criterion for Nodal 3-connectivity in Planar Graphs.,Colm Ó'Dúnlaing
Equational Abstractions for Model Checking Erlang Programs.,Thomas Noll 0001
Fairness of Components in System Computations.,Flavio Corradini
On-demand Evaluation by Program Transformation.,María Alpuente
Properties of General Semantic Operators Determined by Logic-Based Systems.,Anthony Karel Seda
Properties of Set Functors.,Daniela Cancila
The Usability of Ambiguity Detection Methods for Context-Free Grammars.,Hendrikus J. S. Basten
CHR: A Constructive Relevant Natural-deduction Logic.,Edwin D. Mares
A Category Theoretic Formulation for Engeler-style Models of the Untyped lambda.,Giuseppe Rosolini
The Axiom System ISigma,Dan E. Willard
A Foundation for Space-Safe Transformations of Call-by-Need Programs.,David Sands 0001
Thematic Schema Building for Mediation-based Peer-to-Peer Architecture.,Anne Doucet
Verification of Scenario-based Specifications using Templates.,Girish Keshav Palshikar
On the Expressive Power of Temporal Concurrent Constraint Programming Languages (invited talk).,Catuscia Palamidessi
Dealing Denotationally With Stream-based Communication.,Mercedes Hidalgo-Herrero
A Characterization of Monotonicity with Collective Quantifiers.,Gilad Ben-Avi
Dynamic Epistemic Logic with Communication Actions.,Isaque Macalam Saab Lima
Slicing Event Spaces: Towards a Java Programs Checking Framework.,Néstor Cataño
Verifying a Network Invariant for All Configurations of the Futurebus+ Cache Coherence Protocol.,Marcel Kyas
Geometric Aspects of Multiagent Systems.,Timothy Porter 0001
Adapting The Directed Grid Theorem into an FPT Algorithm.,Ana Karolinna Maia
On Subset Families That Form a Continuous Lattice.,Qingguo Li
Formal Methods Elsewhere - A Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering.,Howard Bowman
Inferring Context-Free Grammars for Domain-Specific Languages.,Alan P. Sprague
"Relational Graph Models, Taylor Expansion and Extensionality.",Domenico Ruoppolo
Verifying Communication Protocols Using Live Sequence Chart Specifications.,Eric G. Mercer
A Framework for Component Categories.,Emmanuel Haucourt
On the Unavoidability of Oriented Trees.,François Dross
Model Checking Merged Program Traces.,Ana Cristina Vieira de Melo
Modifying Esterel Concepts to Model Hybrid Systems.,Michael Baldamus
History and Developments.,Jaap van Oosten
Modeling and Analysis of Non-functional Properties in Component-based Systems.,Antonia Bertolino
Effective and Efficient Compilation of Run-Time Generics in Java.,Mirko Viroli
Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.,Jirí Adámek
Proving Component Interoperability with B Refinement.,Jeanine Souquières
TILC: The Interactive Lambda-Calculus Tracer.,David Ruiz 0003
Monoid-labeled transition systems.,H. Peter Gumm
Quantum Programs With Classical Output Streams: (Extended Abstract).,Dominique Unruh
Call-by-need reduction for membership conditional term rewriting Systems.,Mizuhito Ogawa
Towards Seamless Merging of Hypertext and Algorithm Animation.,Ville Karavirta
Management of Railroad Impedances for Shortest Path-based Routing.,George L. Nemhauser
An Overview of Edison.,Chris Okasaki
Animation and Interactive Programming: A Practical Approach.,Phillip Benachour
Programming Examples Needing Polymorphic Recursion.,Assaf J. Kfoury
Asymptotic Behavior and Performance Constraints of Replication Policies.,Davide Cerotti
Confinement Properties for Multi-Threaded Programs.,Dennis M. Volpano
"From Set-theoretic Coinduction to Coalgebraic Coinduction: some results, some problems.",Marina Lenisa
Trace Machines for Observing Continuous-Time Markov Chains.,Christel Baier
On a Condition for Semirings to Induce Compact Information Algebras.,Xuechong Guan
Reducing Complex CSP Models to Traces via Priority.,A. W. Roscoe 0001
Rewriting-Based Verification of Authentication Protocols.,Kazuhiro Ogata 0001
Deductive Argumentation by Enhanced Sequent Calculi and Dynamic Derivations.,Christian Straßer
Preface: 3rd International Workshop on Reduction Strategies in Rewriting and Programming (WRS 2003) - Final Proceedings.,Bernhard Gramlich
Formal Specification of a Web Services Protocol.,David E. Langworthy
Mobile Code For Key Propagation.,Hock Kim Tan
Interaction Nets with McCarthy's amb.,Lionel Khalil
On the Relations between Disjunctive and Linear Logic Programming.,Giorgio Delzanno
Finding Extremal Models of Discrete Duration Calculus formulae using Symbolic Search.,Paritosh K. Pandya
Building Verification Condition Generators by Compositional Extension.,A. J. van Leeuwen
A Survey of Desynchronization in a Polychronous Model of Computation.,Julien Ouy
Name-passing style GUI programming in the ,Atsushi Mizuno
Model Checking Functional and Performability Properties of Stochastic Fluid Models.,András Horváth
Run-Time Analysis for Atomicity.,Liqiang Wang
Petri Nets with Non-blocking Arcs are Difficult to Analyze.,Jean-François Raskin
"The Haskell Refactorer, HaRe, and its API.",Claus Reinke
Grab and Go Systems: a CPO approach to concurrent web and grid-based computation.,Alan Stewart
Computing Uniform Bounds.,Vasco Brattka
Using ATL for Checking Models.,Frédéric Jouault
The Importance of Being Formal.,Christoph Lüth
Heterogeneous Reasoning with Euler/Venn Diagrams Containing Named Constants and FOL.,Gerard Allwein
"Graph Relabelling Systems: a Tool for Encoding, Proving, Studying and Visualizing - Distributed Algorithms.",Afif Sellami
