paper,co_author
Quality of Service Conflict During Web Service Monitoring: A Case Study.,Jael Zela Ruiz
The Coinductive Resumption Monad.,Maciej Piróg
From Comodels to Coalgebras: State and Arrays.,Olha Shkaravska
A Model of Guarded Recursion With Clock Synchronisation.,Rasmus Ejlers Møgelberg
Lazy Logical Semantics.,Simona Ronchi Della Rocca
A Short Introduction to Clones.,Reinhard Pöschel
A Short Introduction to Clones.,Sebastian Kerkhoff
From Reversible to Irreversible Computations.,Thorsten Altenkirch
On Monotone Determined Spaces.,Xiaoquan Xu
From Functional Programs to Interaction Nets via the Rewriting Calculus.,Germain Faure
From Functional Programs to Interaction Nets via the Rewriting Calculus.,Horatiu Cirstea
From Functional Programs to Interaction Nets via the Rewriting Calculus.,Ian Mackie
From Functional Programs to Interaction Nets via the Rewriting Calculus.,Maribel Fernández
Mixed Rational Assessments of Possibility and Probability Measures.,Tommaso Flaminio
Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.,Leon Moonen
Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.,Mark van den Brand
Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.,Steven Klusener
Exploiting Target Enlargement and Dynamic Abstraction within Mixed BDD and SAT Invariant Checking.,Gianpiero Cabodi
Exploiting Target Enlargement and Dynamic Abstraction within Mixed BDD and SAT Invariant Checking.,Karl S. Brace
Exploiting Target Enlargement and Dynamic Abstraction within Mixed BDD and SAT Invariant Checking.,Sergio Nocco
Exploiting Target Enlargement and Dynamic Abstraction within Mixed BDD and SAT Invariant Checking.,Stefano Quer
Flexible Bytecode for Linking in .NET.,Michelle Murray
Flexible Bytecode for Linking in .NET.,Sophia Drossopoulou
Flexible Bytecode for Linking in .NET.,Susan Eisenbach
Default Theories Over Monadic Languages: (Extended Abstract).,Michael Kaminski
Visual Design of Software Architecture and Evolution based on Graph Transformation.,Julia Padberg
Visual Design of Software Architecture and Evolution based on Graph Transformation.,Roswitha Bardohl
Ensuring the Correctness of Lightweight Tactics for JavaCard Dynamic Logic.,Philipp Rümmer
Ensuring the Correctness of Lightweight Tactics for JavaCard Dynamic Logic.,Richard Bubel
Dynamic Slicing Techniques for Petri Nets.,Javier Oliver 0001
Dynamic Slicing Techniques for Petri Nets.,Josep Silva
Dynamic Slicing Techniques for Petri Nets.,Marisa Llorens
Dynamic Slicing Techniques for Petri Nets.,Salvador Tamarit
On the omega-language Expressive Power of Extended Petri Nets.,Gilles Geeraerts
On the omega-language Expressive Power of Extended Petri Nets.,Jean-François Raskin
On the omega-language Expressive Power of Extended Petri Nets.,Laurent Van Begin
The variety of variables in computer-aided real-time programming.,Luke Wildman
Model Checking Quantitative Linear Time Logic.,Marco Faella
Model Checking Quantitative Linear Time Logic.,Mariëlle Stoelinga
A Call Abstraction for Component Coordination.,Pamela Zave
Verifying Concurrent Data Structures by Simulation.,Robert Colvin
Verifying Concurrent Data Structures by Simulation.,Simon Doherty
Self-Test Components for Highly Reconfigurable Systems.,Leonardo Mariani
Self-Test Components for Highly Reconfigurable Systems.,Mauro Pezzè
Characterizing Consistent Smyth Powerdomains by FS-∧,Yayan Yuan
lambda-calculus and Quantitative Program Analysis: (Extended Abstract).,Herbert Wiklicky
Interactive Behaviour Between the Dynamic Arrival Process of Complex Traffic Source and a Bottleneck Queue.,Xingang Wang 0002
Interactive Behaviour Between the Dynamic Arrival Process of Complex Traffic Source and a Bottleneck Queue.,Zhenyu Chen 0006
Modeling Hybrid Systems in SIMTHESys.,Marco Gribaudo
Modeling Hybrid Systems in SIMTHESys.,Mauro Iacono
TSAT++: an Open Platform for Satisfiability Modulo Theories.,Claudio Castellini
TSAT++: an Open Platform for Satisfiability Modulo Theories.,Enrico Giunchiglia
TSAT++: an Open Platform for Satisfiability Modulo Theories.,Marco Maratea
TSAT++: an Open Platform for Satisfiability Modulo Theories.,Massimo Idini
On the way to certify Computer Algebra Systems.,Renaud Rioboo
On the way to certify Computer Algebra Systems.,Sylvain Boulmé
On the way to certify Computer Algebra Systems.,Thérèse Hardin
On the way to certify Computer Algebra Systems.,Valérie Ménissier-Morain
Pattern-Based Verification of Programs with Extended Linear Linked Data Structures.,Pavel Erlebach
Pattern-Based Verification of Programs with Extended Linear Linked Data Structures.,Tomás Vojnar
XRT- Exploring Runtime for .NET Architecture and Applications.,Wolfgang Grieskamp
XRT- Exploring Runtime for .NET Architecture and Applications.,Wolfram Schulte
A Symbolic Semantics for a Calculus for Service-Oriented Computing.,Nobuko Yoshida
A Symbolic Semantics for a Calculus for Service-Oriented Computing.,Rosario Pugliese
Classifying and Formally Verifying Integer Constant Folding.,Sabine Glesner
Decomposing Split Graphs into Locally Irregular Graphs.,Guilherme Oliveira Mota
Decomposing Split Graphs into Locally Irregular Graphs.,Maycon Sambinelli
An Algebraic Approach to Shadowed Sets.,Gianpiero Cattaneo
Alias verification for Fortran code optimization.,Thi Viet Nga Nguyen
A Coalgebraic View of Infinite Trees and Iteration.,Jirí Velebil
A Coalgebraic View of Infinite Trees and Iteration.,Peter Aczel
A Scalable Evidence Based Self-Managing Framework for Trust Management.,Mohammad Waseem Hassan
A Scalable Evidence Based Self-Managing Framework for Trust Management.,Richard McClatchey
Projections for Infinitary Rewriting.,Carlos Lombardi
Projections for Infinitary Rewriting.,Roel de Vrijer
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,Stephan Kepser
SAT-based Induction for Temporal Safety Properties.,Moshe Y. Vardi
SAT-based Induction for Temporal Safety Properties.,Nir Piterman
SAT-based Induction for Temporal Safety Properties.,Ranan Fraer
SAT-based Induction for Temporal Safety Properties.,Roy Armoni
SAT-based Induction for Temporal Safety Properties.,Scott Huddleston
Ambient Petri nets.,Olga Marroquín Alonso
The Recursion Scheme from the Cofree Recursive Comonad.,Varmo Vene
Typing the Behavior of Objects and Component Using Session Types.,António Ravara
Typing the Behavior of Objects and Component Using Session Types.,Vasco Thudichum Vasconcelos
Symbolic Input-Output Conformance Checking for Model-Based Mutation Testing.,Martin Tappler
Electronic Purse Applet Certification: extended abstract.,Jacques Cazin
Electronic Purse Applet Certification: extended abstract.,Jean-Louis Lanet
Electronic Purse Applet Certification: extended abstract.,Pierre Bieber
Electronic Purse Applet Certification: extended abstract.,Pierre Girard
Electronic Purse Applet Certification: extended abstract.,Virginie Wiels
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Alan Barnard
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Fuji Ren
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Kazuyuki Matsumoto
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Kyoko Osaka
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Mitsuko Omori
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Rozzano C. Locsin
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Syu-ichi Ueno
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Tetsuya Tanioka
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Yoichiro Takasaka
On the Decidability of Fragments of the Asynchronous pi-Calculus.,Roberto M. Amadio
Bounded Model Checking with Parametric Data Structures.,Erika Ábrahám
Bounded Model Checking with Parametric Data Structures.,Marc Herbstritt
Bounded Model Checking with Parametric Data Structures.,Martin Steffen
Bridging the Web Accessibility Divide.,I. V. Ramakrishnan
Bridging the Web Accessibility Divide.,Jalal Mahmud
Bridging the Web Accessibility Divide.,Muhammad Asiful Islam
Bridging the Web Accessibility Divide.,Yevgen Borodin
Formal Model Merging Applied to Class Diagram Integration.,Isidro Ramos
Formal Model Merging Applied to Class Diagram Integration.,José A. Carsí
Formal Model Merging Applied to Class Diagram Integration.,Patricio Letelier 0001
Reasoning About Imperative Quantum Programs.,Paulo Mateus
Reasoning About Imperative Quantum Programs.,Rohit Chadha
Fair Pi.,Diletta Cacciagrano
Fair Pi.,Flavio Corradini
Visual Specification of Metrics for Domain Specific Visual Languages.,Juan de Lara
Visual Specification of Metrics for Domain Specific Visual Languages.,Paloma Díaz 0001
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,Olivier Hermant
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,Vivien Maisonneuve
"Notes on Coalgebras, Cofibrations and Concurrency.",Dirk Pattinson
Deconstructing Reo.,Dave Clarke 0001
Deconstructing Reo.,Farhad Arbab
Deconstructing Reo.,José Proença
Efficient Reduction Techniques for Systems with Many Components.,Thomas Wahl
The Implication Problem of Functional Dependencies in Complex-value Databases.,Sven Hartmann
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Huibiao Zhu
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Jian Guo 0005
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Jianqi Shi
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Longfei Zhu
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Xinyun Zhou
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,Alicia Villanueva
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,Moreno Falaschi
Meta-metric Evaluation of E-Commerce-related Metrics.,Michalis Nik Xenos
Local Reasoning About Tree Update.,Uri Zarfaty
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Clark W. Barrett
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Igor Shikanian
Component Substitutability via Equivalencies of Component-Interaction Automata.,Ivana Cerná
Component Substitutability via Equivalencies of Component-Interaction Automata.,Pavlína Vareková
The Sequent Calculus of Skew Monoidal Categories.,Noam Zeilberger
The Sequent Calculus of Skew Monoidal Categories.,Tarmo Uustalu
Bigraphical Semantics of Higher-Order Mobile Embedded Resources with Local Names.,Thomas T. Hildebrandt
Strategies for Source-to-Source Constant Progagation.,Karina Olmos
A Case Study in Periodic Timetabling.,Rolf H. Möhring
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Patrícia D. L. Machado
Action Control by Term Rewriting.,Maribel Fernández
Action Control by Term Rewriting.,Steve Barker
Typed behavioural equivalences for processes in the presence of subtyping.,Matthew Hennessy
A Single Proof of Classical Behaviour in da Costa's C,Mauricio Osorio 0001
Interactive Programming of Reactive Systems.,Louis Mandel
Model Checking Biological Oscillators.,Ezio Bartocci
Model Checking Biological Oscillators.,Flavio Corradini
Model Checking Biological Oscillators.,Luca Tesei
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Gerhard Weiß 0001
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Matthias Nickles
Heuristics for Faster Error Detection With Automated Black Box Testing.,Pablo Virolainen
On Tuza's Conjecture for Triangulations and Graphs with Small Treewidth.,Fábio Botler
On Tuza's Conjecture for Triangulations and Graphs with Small Treewidth.,Juan Gutiérrez
Towards an awareness-based semantics for security protocol analysis.,Luca Viganò 0001
Towards an awareness-based semantics for security protocol analysis.,Rafael Accorsi
JHAVÉ - More Visualizers (and Visualizations) Needed.,Thomas L. Naps
Reducing Symmetries to Generate Easier SAT Instances.,Zhuo Huang
A Cappable Almost Everywhere Dominating Computably Enumerable Degree.,George Barmpalias
On Functional Dependencies in Advanced Data Models.,Sven Hartmann
CVM - A Verified Framework for Microkernel Programmers.,Thomas In der Rieden
Using CafeOBJ to Mechanise Refactoring Proofs and Application.,Leila Silva
Using CafeOBJ to Mechanise Refactoring Proofs and Application.,Márcio Cornélio
Modelling Parallel Quantum Computing Using Transactional Memory.,Juliana Kaizer Vizzotto
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Görel Hedin
Angelic Nondeterminism and Unifying Theories of Programming.,Jim Woodcock 0001
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Montserrat Hermo
Improving the Security of Downloadable Java Applications With Static Analysis.,Pierre Crégut
Combining OCL and Programming Languages for UML Model Processing.,Mika Siikarla
Combining OCL and Programming Languages for UML Model Processing.,Petri Selonen
Translating Mobile Ambients into P Systems.,Gabriel Ciobanu
A Concrete Categorical Semantics of Lambda-S.,Octavio Malherbe
A Tutorial on Specifying Data Structures in Maude.,Miguel Palomino
A Tutorial on Specifying Data Structures in Maude.,Narciso Martí-Oliet
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Rudolf Freund
Foreword.,Florence Maraninchi
Foreword.,Éric Rutten
Liveness Checking as Safety Checking for Infinite State Spaces.,Viktor Schuppan
Runtime Verification of Concurrent Haskell Programs.,Volker Stolz
Comparing models of higher type computation.,Thomas Streicher
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Marcelo da Silva Corrêa
