paper,cites
Modelling emerging pollutants in wastewater treatment: A Case study using the pharmaceutical 17α-ethinylestradiol.,The Ethics of Supernumerary Robotic Limbs. An Enactivist Approach.
Modelling emerging pollutants in wastewater treatment: A Case study using the pharmaceutical 17α-ethinylestradiol.,Residual Splash for Optimally Parallelizing Belief Propagation.
Modelling emerging pollutants in wastewater treatment: A Case study using the pharmaceutical 17α-ethinylestradiol.,"Relational Graph Models, Taylor Expansion and Extensionality."
MILP model for a packed bed sensible thermal energy storage.,Numerical Validation of Compensated Summation Algorithms with Stochastic Arithmetic.
MILP model for a packed bed sensible thermal energy storage.,Biased learning under ambiguous information.
MILP model for a packed bed sensible thermal energy storage.,Efficient Hypergraph Clustering.
Stochastic modeling of fuel procurement for electricity generation with contractual terms and logistics constraints.,Java Test Driver Generation from Object-Oriented Interaction Traces.
Stochastic modeling of fuel procurement for electricity generation with contractual terms and logistics constraints.,Complete Positivity and Natural Representation of Quantum Computations.
Mixed-integer optimization of distillation sequences with Aspen Plus: A practical approach.,Inside Every Model of Abstract Stone Duality Lies an Arithmetic Universe.
Mixed-integer optimization of distillation sequences with Aspen Plus: A practical approach.,Reducing Symmetries to Generate Easier SAT Instances.
Mixed-integer optimization of distillation sequences with Aspen Plus: A practical approach.,Detecting Weak but Hierarchically-Structured Patterns in Networks.
Development of a responsive optimisation framework for decision-making in precision agriculture.,Guest Editorial: Agent and System Transparency.
Development of a responsive optimisation framework for decision-making in precision agriculture.,The Use of Bernoulli Mixture Models for Identifying Corners of a Hypercube and Extracting Boolean Rules From Data.
Development of a responsive optimisation framework for decision-making in precision agriculture.,Biochemical Space: A Framework for Systemic Annotation of Biological Models.
Development of a responsive optimisation framework for decision-making in precision agriculture.,Intensional Approaches for Symbolic Methods.
Dynamic prediction of interface level using spatial temporal markov random field.,Variational Gaussian Process.
Dynamic prediction of interface level using spatial temporal markov random field.,Direct Models for the Computational Lambda Calculus.
Improving the sensitivity of safety and health index assessment in optimal molecular design framework.,Testing the sender: When signaling is not enough.
Improving the sensitivity of safety and health index assessment in optimal molecular design framework.,Dynamic survival bias in optimal stopping problems.
Improving the sensitivity of safety and health index assessment in optimal molecular design framework.,Multi-object tracking with representations of the symmetric group.
Improving the sensitivity of safety and health index assessment in optimal molecular design framework.,Adequacy and Complete Axiomatization for Timed Modal Logic.
Dynamic optimization of an emulsion copolymerization process for product quality using a deterministic kinetic model with embedded Monte Carlo simulations.,"Semantic Domains, Injective Spaces and Monads."
Dynamic optimization of an emulsion copolymerization process for product quality using a deterministic kinetic model with embedded Monte Carlo simulations.,Uniform Topological Spaces Based on BF-ideals in Negative Non-involutive Residuated Lattices.
Semi-infinite programming for global guarantees of robust fault detection and isolation in safety-critical systems.,A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming.
Semi-infinite programming for global guarantees of robust fault detection and isolation in safety-critical systems.,Inferring Context-Free Grammars for Domain-Specific Languages.
Coordinated management of organic waste and derived products.,Towards Integrated Cognitive and Interface Analysis.
"Chromatographic studies of n-Propyl Propionate, Part II: Synthesis in a fixed bed adsorptive reactor, modelling and uncertainties determination.",Stability and venture structures in multilateral matching.
"Chromatographic studies of n-Propyl Propionate, Part II: Synthesis in a fixed bed adsorptive reactor, modelling and uncertainties determination.",How Many Times do We Need an Assumption to Prove a Tautology in Minimal Logic? Examples on the Compression Power of Classical Reasoning.
A scalable stochastic programming approach for the design of flexible systems.,Case Analysis of Higher-Order Data.
Efficient clustering of identical generating units for the MILP-UC with a shifting generation level method.,Towards the really optimal design of distillation systems: Simultaneous pressures optimization of distillation systems based on rigorous models.
New batch-centric model for detailed scheduling and inventory management of mesh pipeline networks.,From Concurrency to Algebraic Topology.
New batch-centric model for detailed scheduling and inventory management of mesh pipeline networks.,Nonhuman Value: A Survey of the Intrinsic Valuation of Natural and Artificial Nonhuman Entities.
New batch-centric model for detailed scheduling and inventory management of mesh pipeline networks.,Equilibrium behaviors in repeated games.
New batch-centric model for detailed scheduling and inventory management of mesh pipeline networks.,Learning for Larger Datasets with the Gaussian Process Latent Variable Model.
"Kaibel column: Modeling, optimization, and conceptual design of multi-product dividing wall columns.",Fairness and efficiency for allocations with participation constraints.
"Kaibel column: Modeling, optimization, and conceptual design of multi-product dividing wall columns.",Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.
Simultaneous measurement uncertainty reduction and proppant bank height control of hydraulic fracturing.,"Vague Domains, S-Unification, Logic Programming."
Simultaneous measurement uncertainty reduction and proppant bank height control of hydraulic fracturing.,Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.
Stochastic back-off-based robust process design for continuous crystallization of ibuprofen.,Memory-Effcient Orthogonal Least Squares Kernel Density Estimation using Enhanced Empirical Cumulative Distribution Functions.
Dissipativity learning control (DLC): A framework of input-output data-driven control.,The Recursion Scheme from the Cofree Recursive Comonad.
Dissipativity learning control (DLC): A framework of input-output data-driven control.,Learning from Weak Teachers.
Direct computation of Hopf bifurcation points in differential-algebraic equations.,Numerical Validation of Compensated Summation Algorithms with Stochastic Arithmetic.
Direct computation of Hopf bifurcation points in differential-algebraic equations.,Coalgebraic Reasoning about Classes in Object-Oriented Languages.
Direct computation of Hopf bifurcation points in differential-algebraic equations.,A Generalization of ACP Using Belnap's Logic.
